Organism.GOLD Organism ID,Organism.Organism Name,Organism.Domain,Organism.Species,Organism.Phylum,Organism.NCBI Taxonomy ID,Organism.Type Strain,Organism.Organism Type,Organism.Add Date,Organism.NCBI Phylum,Organism.NCBI Class,Organism.NCBI Order,Organism.NCBI Family,Organism.NCBI Genus,Organism.NCBI Species,Organism.Cell Diameter,Organism.Cell Shape,Organism.Color,Organism.Gram Stain,Organism.Motility,Organism.Oxygen Requirement,Organism.pH,Organism.pH2,Organism.Salinity,Organism.Pressure,Organism.Sporulation,Organism.Carbon Source,Organism.Growth Temperature,Organism.Growth Temperature2,Organism.Cell Length,Organism.Commercial Strain,Organism.Commercial Strain Comments,Organism.Propagation,Organism.Sample Collection Site,Organism.Isolation Country/Ocean.Term,Organism.Collection Method,Organism.Ecosystem,Organism.Ecosystem Category,Organism.Ecosystem Type,Organism.Geographic Location,Organism.Latitude,Organism.Longitude,Organism.Altitude,Organism.Elevation,Organism.Depth,Organism.Subsurface Depth,Organism.Temperature Range,Organism.Isolation Host Name,Organism.Host Taxonomy ID,Organism.Host Gender,Organism.Host Body Site,Organism.Host Body Product,Organism.Host Specificity or Range,Organism.Host Comments
Go0705681,Cyberlindnera subsufficiens NRRL YB-1657,EUKARYAL,Cyberlindnera subsufficiens,FUNGI-ASCOMYCOTA,1004254,Yes,Natural,Ascomycota,Saccharomycetes,Phaffomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera subsufficiens,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705678,Crinitomyces ghanaensis NRRL YB-1486,EUKARYAL,Crinitomyces ghanaensis,FUNGI-ASCOMYCOTA,135453,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Crinitomyces,Crinitomyces ghanaensis,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705661,Nadsonia commutata NRRL Y-7950,EUKARYAL,Nadsonia commutata,FUNGI-ASCOMYCOTA,53686,Yes,Natural,Ascomycota,Dipodascomycetes,Dipodascales,,Nadsonia,Nadsonia commutata,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705648,Candida insectamans NRRL Y-7786,EUKARYAL,Candida insectamans,FUNGI-ASCOMYCOTA,45559,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Spathaspora,[Candida] insectamans,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705644,Candida insectalens NRRL Y-7778,EUKARYAL,Candida insectalens,FUNGI-ASCOMYCOTA,49328,Yes,Natural,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,,[Candida] insectalens,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705637,Candida diddensiae NRRL Y-7589,EUKARYAL,Candida diddensiae,FUNGI-ASCOMYCOTA,45543,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Yamadazyma,[Candida] diddensiae,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705611,Metschnikowia torresii NRRL Y-6699,EUKARYAL,Metschnikowia torresii,FUNGI-ASCOMYCOTA,45599,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Metschnikowia,Metschnikowia torresii,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705610,Candida maris NRRL Y-6696,EUKARYAL,Candida maris,FUNGI-ASCOMYCOTA,50260,Yes,Natural,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Ogataea,[Candida] maris,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705601,Vanderwaltozyma verrucispora NRRL Y-63795,EUKARYAL,Vanderwaltozyma verrucispora,FUNGI-ASCOMYCOTA,907289,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Vanderwaltozyma,Vanderwaltozyma verrucispora,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705600,Zygosaccharomyces pseudorouxii NRRL Y-63794,EUKARYAL,Zygosaccharomyces pseudorouxii,FUNGI-ASCOMYCOTA,227369,Yes,Natural,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces pseudorouxii (nom. inval.),,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
Go0705559,Sungouiella flosculorum NRRL Y-48731,EUKARYAL,Sungouiella flosculorum,FUNGI-ASCOMYCOTA,417300,Yes,Natural,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Sungouiella,Sungouiella flosculorum,,,,,,,,,,,,,,,,,,,,USA,,,,,"USA: Madison, Wisconsin",,,,,,,,,,,,,,,
