Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD
UP000002311	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	6067	C:99.6%[S:97.4%,D:2.2%],F:0.1%,M:0.3%,n:2137	Outlier (high value)
UP000001312	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)	665079	14445	C:88.4%[S:88.3%,D:0.0%],F:4.6%,M:7.0%,n:5177	Unknown
UP000002485	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812	5220	C:81.8%[S:76.3%,D:5.5%],F:1.5%,M:16.8%,n:1706	Unknown
UP000000559	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	6036	C:98.8%[S:98.4%,D:0.5%],F:0.7%,M:0.5%,n:2137	Unknown
UP000000267	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17) (Kluyveromyces polysporus)	436907	5353	C:95.4%[S:91.9%,D:3.5%],F:1.5%,M:3.1%,n:2137	Outlier (low value)
UP000000314	Komagataella phaffii (strain GS115 / ATCC 20864) (Yeast) (Pichia pastoris)	644223	5073	C:97.6%[S:97.4%,D:0.1%],F:0.3%,M:2.2%,n:2137	Unknown
UP000000560	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	227321	10561	C:94.2%[S:94.0%,D:0.2%],F:2.0%,M:3.8%,n:4191	Standard
UP000000561	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis)	5270	6805	C:99.4%[S:99.3%,D:0.1%],F:0.2%,M:0.3%,n:1764	Unknown
UP000000591	Eremothecium gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Ashbya gossypii)	284811	4760	C:99.5%[S:99.4%,D:0.0%],F:0.1%,M:0.4%,n:2137	Unknown
UP000000598	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	284590	5048	C:96.0%[S:95.8%,D:0.1%],F:0.2%,M:3.8%,n:2137	Unknown
UP000000599	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	284592	6284	C:97.1%[S:96.9%,D:0.1%],F:0.0%,M:2.9%,n:2137	Unknown
UP000000689	Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639) (Saccharomyces dairenensis)	1071378	5523	C:99.3%[S:97.1%,D:2.2%],F:0.3%,M:0.4%,n:2137	Close to standard (low value)
UP000000707	Candida tenuis (strain ATCC 10573 / BCRC 21748 / CBS 615 / JCM 9827 / NBRC 10315 / NRRL Y-1498 / VKM Y-70) (Yeast) (Yamadazyma tenuis)	590646	6051	C:95.6%[S:74.1%,D:21.4%],F:1.3%,M:3.2%,n:2137	Unknown
UP000000709	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	619300	5973	C:95.3%[S:95.1%,D:0.2%],F:3.9%,M:0.8%,n:2137	Unknown
UP000000724	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) (Penicillium chrysogenum)	500485	12788	C:97.2%[S:96.8%,D:0.4%],F:0.4%,M:2.4%,n:4191	Outlier (high value)
UP000000819	Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite)	284813	2041	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:600	Unknown
UP000001056	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus)	306901	11038	C:85.8%[S:85.6%,D:0.2%],F:7.0%,M:7.2%,n:3817	Unknown
UP000001067	Pyrenophora teres f. teres (strain 0-1) (Barley net blotch fungus) (Drechslera teres f. teres)	861557	11705	C:97.5%[S:97.1%,D:0.5%],F:1.2%,M:1.3%,n:6641	Unknown
UP000001072	Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus)	747676	16237	C:91.4%[S:89.1%,D:2.3%],F:3.2%,M:5.4%,n:1764	Unknown
UP000001197	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina)	515849	10657	C:98.1%[S:98.0%,D:0.1%],F:0.7%,M:1.2%,n:3817	Unknown
UP000001261	Coccidioides immitis (strain RS) (Valley fever fungus)	246410	9712	C:98.7%[S:96.9%,D:1.8%],F:0.4%,M:0.9%,n:4862	Unknown
UP000001294	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	441960	10448	C:97.6%[S:92.5%,D:5.2%],F:0.3%,M:2.1%,n:4191	Unknown
UP000001300	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	284591	6454	C:92.0%[S:91.5%,D:0.5%],F:1.4%,M:6.6%,n:2137	Unknown
UP000001471	Pyrenophora tritici-repentis (strain Pt-1C-BFP) (Wheat tan spot fungus) (Drechslera tritici-repentis)	426418	12062	C:95.5%[S:95.4%,D:0.1%],F:2.5%,M:2.1%,n:6641	Unknown
UP000001610	Cordyceps militaris (strain CM01) (Caterpillar fungus)	983644	9651	C:95.9%[S:95.7%,D:0.2%],F:0.6%,M:3.6%,n:4494	Unknown
UP000001611	Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	498257	9894	C:75.7%[S:75.4%,D:0.3%],F:2.0%,M:22.3%,n:6841	Unknown
UP000001628	Paracoccidioides brasiliensis (strain Pb18)	502780	8399	C:96.6%[S:96.6%,D:0.0%],F:0.9%,M:2.4%,n:4862	Unknown
UP000001631	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	447093	9214	C:96.4%[S:95.7%,D:0.8%],F:1.7%,M:1.9%,n:4862	Unknown
UP000001640	Naumovozyma castellii (Yeast) (Saccharomyces castellii)	27288	5565	C:98.8%[S:96.2%,D:2.6%],F:0.2%,M:1.0%,n:2137	Unknown
UP000001744	Schizosaccharomyces japonicus (strain yFS275 / FY16936) (Fission yeast)	402676	4852	C:81.2%[S:78.3%,D:3.0%],F:2.0%,M:16.8%,n:1706	Unknown
UP000001745	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	441959	13021	C:97.3%[S:91.7%,D:5.5%],F:0.5%,M:2.3%,n:4191	Unknown
UP000001798	Botryotinia fuckeliana (strain B05.10) (Noble rot fungus) (Botrytis cinerea)	332648	13037	C:99.8%[S:89.7%,D:10.1%],F:0.1%,M:0.1%,n:5177	Unknown
